"Round","Home_bin","A.b.BB","A.b.K","A.b.AVG","A.b.ISO","A.b.HR","A.b.BsR","A.s.K9","A.s.BB9","A.s.HR9","A.s.LOB","A.s.IP","A.r.K9","A.r.BB9","A.r.HR9","A.r.LOB","A.r.IP","A.r.SV","result"
1,0,-1.3394774298872,-0.516124711019589,-1.0370422667321,-1.55478078513464,-1.07373385224931,0.912292786740962,-0.517597696289873,0.067269728542358,-3.01868730934358,1.44318049227346,1.1869102989779,-0.52916974997159,0.816503185279903,-0.680709455715375,-0.987875456059088,-1.50638215676785,-0.835289575120161,"win"
1,1,-1.89759302567354,0.387093533264692,0.282829709108753,-0.388695196283659,0.12632162967639,1.44308131720844,1.16713206026148,0.515734585491411,0.862482088383879,-0.962120328182308,-1.23315355737964,0.701457575543731,0.10886709137065,-1.04724531648519,-1.10186108560436,1.00425477117857,1.5512520680803,"win"
2,1,1.3394774298872,-0.193546766632344,0.659935987920425,1.27714135921774,1.07373385224931,0.11610999103976,1.96890104078892,-0.695120528271031,1.72496417676776,-0.0801766940152,-0.12845349556038,-1.57520297665961,-0.462685138325278,0.523622658242596,0.417947308332695,0.496548192416072,-0.835289575120161,"win"
1,1,0.669738714943601,-0.645155888774486,-0.282829709108754,0.16658365555014,0.284223666771877,-0.879118503586749,1.52234616555844,-1.14358538522008,0.161715391571978,-0.32070677606077,0.873483769810574,0.664538755778275,-0.843719958122565,-0.785433987363899,-0.987875456059083,-0.256642885967855,-0.477308328640092,"win"
1,1,0.446492476629064,-1.03224942203918,0.94276569702918,-1.22161347403436,-1.35795751902119,3.08520833334218,-1.52234616555845,-1.99566861342326,-0.269525652619963,2.9665376785621,3.00324272620166,-0.073837639530923,-0.898153503807898,1.04724531648519,2.35570301060244,-2.75612142756784,1.67057915024032,"win"
2,0,-1.3394774298872,0.838702655406833,-1.97980796376128,0.610806737017182,1.07373385224931,-1.14451276882049,2.23277437615239,0.313925399864335,0.485146174715933,-1.20265041022788,-0.513813982241517,-0.369188197654594,-0.57155222969593,-0.942520784836672,-1.55780360378548,0.189692567889285,0.11932708216002,"win"
3,1,1.0046080724154,0,0,0.388695196283659,0.157902037095487,-1.97386984767591,0.58864051734926,-0.605427556881221,0.592956435763917,1.60353388030384,0.721908645049328,-0.996808133667408,1.27918832360518,2.30393969626742,0.569928147726397,-0.557919317321425,-2.74452288968053,"win"
1,0,-2.07616545267687,1.01802956514695,1.08653910996929,-0.394771999143573,-1.39009171042761,-1.76458288115205,-0.284535357023811,-0.546030729509154,1.76106658920754,-1.25837289386901,-2.7339032325356,1.01499197568049,-0.485083162470772,1.56256431810114,1.48275015881358,2.64290850914129,-0.114324660494206,"win"
1,0,0.790920172448331,-0.82714902168189,0.592657696346884,1.64488332976489,1.24376626722471,1.20261381072146,-0.091051314247619,0.2224569638741,-0.10673130843682,-1.1404004350688,1.18759980845962,-0.802171077553932,-1.10598961043335,-0.45957774061799,-1.05028136249295,-1.98847402116344,-1.60054524691889,"win"
2,0,1.08751523711646,0.25450739128674,-0.197552565448961,1.18431599743072,0.841371298416716,-1.00030494536645,-0.307298185585715,-0.242680324226292,-0.42692523374728,-0.039324152933405,2.10859557828544,0.818541915871361,-0.271646570983628,-1.56256431810114,-0.21623439816031,-2.41637349407203,0.114324660494206,"win"
